Subject,Control,Complexity,Expertise,Intersection_time,P_switch,norm_mean,norm_bestpath,norm_userpath
01,waypoint,low,expert,51,0,0.3065376626802675,0.09999679528347416,0.09999679528347416
01,waypoint,low,expert,51,0,0.33864591414731476,0.10917300068730318,0.10917300068730318
01,waypoint,low,expert,51,0,0.280215130444711,0.09805387533227344,0.09805387533227344
01,waypoint,low,expert,68,1,0.33254627222921457,0.22884569510491815,0.1398427930655974
01,waypoint,low,expert,68,0,0.1897785867965631,0.08587885760965083,0.09463257967356081
01,waypoint,low,expert,94,0,0.9005567021775053,0.20016219475315872,0.3412216402478728
01,waypoint,low,expert,94,1,1.5548860459904874,0.35556057169116007,1.0916361836591624
01,waypoint,low,expert,94,1,0.9582162555509894,0.4114766984896324,0.3549703008278355
01,waypoint,low,expert,94,1,0.25692308305380684,0.21435473948000083,0.08679477397288568
01,waypoint,low,expert,94,0,0.5302029128203555,0.16190695402305455,0.3799548519534064
01,waypoint,low,expert,94,0,1.0040163696180258,0.0753732357394322,0.307553053506112
01,waypoint,low,expert,94,0,0.9826172529254851,0.23546946759284668,0.30532215114735994
01,waypoint,low,expert,94,1,0.754573103763675,0.4921316734540141,0.2967707888830643
01,waypoint,low,expert,102,0,1.9005152838001187,0.7884186740044823,0.7884186740044823
01,waypoint,low,expert,102,0,1.445437990599079,0.22402832170218473,0.22402832170218473
01,waypoint,low,expert,102,0,0.33642143470979846,0.21543262187961615,0.21543262187961615
01,waypoint,low,expert,102,0,1.9156558972323694,0.7835782824315844,0.7835782824315844
01,waypoint,low,expert,102,0,1.9189138890185922,0.8486769530931706,0.8486769530931706
01,waypoint,low,expert,102,0,0.4057550469943811,0.21196352800615353,0.21196352800615353
01,waypoint,low,expert,102,0,0.7085515532055664,0.2836095198074062,0.2836095198074062
01,waypoint,low,expert,102,0,0.87797429138302,0.1760355541875586,0.1760355541875586
01,waypoint,low,expert,102,0,0.7668904185510198,0.2860344222774809,0.2860344222774809
01,waypoint,low,expert,102,0,0.9008512110955467,0.16751758928590293,0.16751758928590293
01,waypoint,low,expert,108,0,1.0196584194044793,0.27918878696574206,0.27918878696574206
01,waypoint,low,expert,108,0,0.7844633988041375,0.3158769457423122,0.3158769457423122
01,waypoint,low,expert,117,0,0.4692384137977107,0.2686320765383643,0.2686320765383643
01,waypoint,low,expert,117,1,1.6280252992159612,0.7477306888469235,0.7477306888469235
01,waypoint,low,expert,117,1,1.586405838593121,0.7595171741099049,0.7595171741099049
01,waypoint,low,expert,117,1,1.535022539867689,0.6613516073545647,0.6613516073545647
01,waypoint,low,expert,117,0,1.4795470894563545,0.3335670202995341,0.3335670202995341
01,waypoint,low,expert,170,1,0.31415427768750503,0.11268059775285141,0.27003583062163394
01,waypoint,low,expert,170,1,0.25194889844477875,0.034755929481122494,0.24699354225828365
01,waypoint,low,expert,182,0,0.07315529881386311,0.002618539724243918,0.07232891686389542
01,waypoint,low,expert,193,0,0.3389854054368566,0.24205961681547616,0.24205961681547616
01,waypoint,low,expert,222,1,0.5665765256902734,0.24834096674171652,0.10378992822671756
01,waypoint,low,expert,222,0,0.41742393971523456,0.12585598272536555,0.1175900725222632
01,waypoint,low,expert,222,0,0.261983544952591,0.14456373878850834,0.12458012346278835
01,waypoint,low,expert,222,0,0.2657602460507811,0.15330282583475402,0.11673879637905385
01,waypoint,low,expert,222,0,0.26026760976827834,0.1037582319070107,0.146410851755555
01,waypoint,low,expert,222,0,0.26078977095433253,0.08139026599248905,0.1431978111621292
01,waypoint,low,expert,242,0,2.201112749815626,0.2963143946909558,0.2963143946909558
01,waypoint,low,expert,242,0,0.9978695379015209,0.3627807646178326,0.3627807646178326
01,waypoint,low,expert,242,0,2.4556779420090016,0.44537599324761024,0.44537599324761024
01,waypoint,low,expert,242,0,1.0129789679393106,0.2691318387023197,0.2691318387023197
01,waypoint,low,expert,242,0,1.0454407083051382,0.3526446308811236,0.3526446308811236
01,waypoint,low,expert,242,1,2.157049945737742,0.4501370295693408,0.4501370295693408
01,waypoint,low,expert,242,0,0.9795569520195602,0.32449123351775855,0.32449123351775855
01,waypoint,low,expert,242,0,1.0528593104650685,0.3227164817358104,0.3227164817358104
01,waypoint,low,expert,242,0,0.8764664975544865,0.3061648270256022,0.3061648270256022
01,waypoint,low,expert,242,0,0.9736883916206367,0.25811432272135487,0.25811432272135487
01,waypoint,low,expert,242,0,1.0118700172610589,0.32211811514541694,0.32211811514541694
01,waypoint,low,expert,242,0,1.011403697428039,0.3551109701827095,0.3551109701827095
01,waypoint,low,expert,242,0,1.0543574634095874,0.36174408203865965,0.36174408203865965
01,waypoint,low,expert,242,0,0.577352275552935,0.3498578630843141,0.3498578630843141
01,waypoint,low,expert,242,1,0.5069158662311126,0.31916985302615314,0.31916985302615314
01,waypoint,low,expert,263,1,0.1144687463814009,0.06476873511408901,0.048386758732770305
01,waypoint,low,expert,263,0,0.09453575831299162,0.05009330757890865,0.037507284574876384
01,waypoint,low,expert,263,1,1.3770506809757328,0.6507845507286663,0.7169755915810163
01,directergodic,low,expert,12,1,0.3068270553861294,0.22061851311923739,0.0017241150192969165
01,directergodic,low,expert,12,0,0.004016715915778977,0.001743503602679497,0.003208150903518517
01,directergodic,low,expert,24,0,0.369202882090605,0.014416581596747573,0.014416581596747573
01,directergodic,low,expert,24,0,0.003376348950577999,0.0019494165032374125,0.0019494165032374125
01,directergodic,low,expert,24,0,0.004698611524476911,0.003278769803061403,0.003278769803061403
01,directergodic,low,expert,57,0,1.7733155755931673,0.3043817429315476,0.9657588564148598
