Subject,Control,Complexity,MDP_r
18,none,low,8.922536874948543
18,waypoint,low,7.270055916777059
18,directergodic,low,1.4545127868753882
18,autoergodic,low,3.6717961461919524
18,none,high,3.7196927596444835
18,waypoint,high,4.863725295660698
18,directergodic,high,0.0
18,sharedergodic,high,1.0486672681342362
18,autoergodic,high,0.8336021384099
19,none,low,3.829708109678707
19,waypoint,low,11.966175751041556
19,directergodic,low,4.474706428376687
19,autoergodic,low,7.605031986400565
19,none,high,7.2002368599578555
19,waypoint,high,8.3693137313224
19,sharedergodic,high,14.025935499913981
19,autoergodic,high,7.7333126181571235
20,none,low,0.9636644489636637
20,waypoint,low,1.6459201978105253
20,directergodic,low,4.09003565270378
20,sharedergodic,low,4.263707957151784
20,autoergodic,low,13.386063136910328
20,none,high,1.0704258457312936
20,waypoint,high,5.5025309643067
20,sharedergodic,high,2.1117983644866873
20,autoergodic,high,3.9214432730883453
21,none,low,2.7303466311056663
21,waypoint,low,2.7224620804403377
21,directergodic,low,0.6772983114043891
21,sharedergodic,low,1.6433908525929732
21,autoergodic,low,1.5482315241101228
21,none,high,3.1456156666996278
21,directergodic,high,3.8460296808078196
21,sharedergodic,high,9.967086842252028
21,autoergodic,high,1.3388779093560956
22,none,low,5.389731941546127
22,waypoint,low,13.25351583845239
22,directergodic,low,1.834468070285545
22,sharedergodic,low,1.2057718794371783
22,autoergodic,low,6.543923143160784
22,none,high,3.571120934916179
22,waypoint,high,0.9760260817315678
22,directergodic,high,1.2663950156143753
22,sharedergodic,high,2.446975316296795
22,autoergodic,high,4.150454671522132
24,none,low,6.264693771191688
24,waypoint,low,1.3165308932772959
24,directergodic,low,0.7247623243185151
24,sharedergodic,low,3.603568953449755
24,autoergodic,low,2.1674295474068805
24,none,high,1.8041975990426669
24,waypoint,high,5.97792891860102
24,directergodic,high,5.672079925607039
24,sharedergodic,high,7.372365010381526
25,none,low,0.9479120974526372
25,waypoint,low,0.5516779806240356
25,directergodic,low,9.858582642665608
25,sharedergodic,low,0.9617688665111866
25,autoergodic,low,10.663466496105865
25,none,high,0.6751304827797198
25,waypoint,high,3.9405526112473104
25,directergodic,high,9.391298597689063
25,sharedergodic,high,0.5093627271431126
25,autoergodic,high,4.240496640416751
26,none,low,0.49254135710505254
26,directergodic,low,1.1764590207531551
26,sharedergodic,low,3.712765296541477
26,autoergodic,low,4.010031987923677
26,none,high,10.27370850198101
26,waypoint,high,0.6669855960802191
26,directergodic,high,4.712849107346059
26,sharedergodic,high,2.2237334893606864
26,autoergodic,high,4.282730180622927
27,none,low,4.084755677817746
27,waypoint,low,9.312214122124885
27,directergodic,low,0.8105495608538642
27,sharedergodic,low,1.3800303756566576
27,autoergodic,low,1.755489494786124
27,none,high,4.430863555310607
27,waypoint,high,1.4153294152266773
27,directergodic,high,10.043625844509185
27,sharedergodic,high,1.814285858028561
28,none,low,3.9671628339862264
28,waypoint,low,2.264455612191709
28,directergodic,low,1.319498341671315
28,sharedergodic,low,1.0971541986094677
28,autoergodic,low,2.043695870195923
28,none,high,4.643108709302813
28,waypoint,high,0.7777983949909593
28,directergodic,high,1.0906938686262861
28,sharedergodic,high,1.3789607264381567
29,none,low,1.6395872363646382
29,waypoint,low,3.9748076022965306
29,directergodic,low,1.419078840376885
29,sharedergodic,low,1.8565081421307055
29,autoergodic,low,3.561366209636312
29,none,high,7.5294028997005835
29,waypoint,high,10.147169226008963
29,directergodic,high,6.92575384341798
29,sharedergodic,high,2.25636259288925
29,autoergodic,high,6.0
32,none,low,7.244787171623543
32,waypoint,low,1.618434742188004
32,directergodic,low,1.0854096565102198
32,sharedergodic,low,4.735150541012846
32,autoergodic,low,7.425393698701027
32,none,high,2.2019285513718523
32,waypoint,high,6.943043181357398
32,directergodic,high,9.670882376581892
32,sharedergodic,high,4.148121278566793
32,autoergodic,high,4.396139666099535
34,none,low,3.4812834759430067
34,waypoint,low,2.246282385681801
34,directergodic,low,1.3747134869674136
34,sharedergodic,low,4.1744683981233015
34,autoergodic,low,1.3018637576970788
34,none,high,4.394103856046138
34,waypoint,high,5.716797214400318
34,sharedergodic,high,8.5204803338837
34,autoergodic,high,9.076168926745115
35,none,low,3.929217548224227
35,waypoint,low,9.000036523945123
35,directergodic,low,1.0866389094459152
35,sharedergodic,low,0.3594329550555151
35,autoergodic,low,8.995987765228532
35,none,high,0.3589180190648307
35,waypoint,high,7.775557075278507
35,directergodic,high,0.1746307341201102
35,sharedergodic,high,5.897893302426704
36,none,low,0.5092598458892056
36,waypoint,low,0.0
36,directergodic,low,7.1370054644525736
36,sharedergodic,low,6.2059451160591035
36,autoergodic,low,3.5456190987152194
36,none,high,0.886517628396795
36,waypoint,high,0.725789881389403
36,directergodic,high,3.486571622471023
36,sharedergodic,high,4.6278367483338405
36,autoergodic,high,1.5789730965305657
37,none,low,3.734799875506078
37,waypoint,low,3.8803873126168558
37,directergodic,low,1.3155924336582339
37,sharedergodic,low,4.219612112878596
37,autoergodic,low,1.2491310772280686
37,none,high,2.026649846213121
37,waypoint,high,4.726433456122729
37,directergodic,high,10.015936508402417
37,sharedergodic,high,1.0035949616041169
37,autoergodic,high,12.669785144693865
40,none,low,1.0941185724885871
40,waypoint,low,5.258277624221701
40,directergodic,low,11.854789424641533
40,sharedergodic,low,0.8614637452669169
40,autoergodic,low,13.605324942371741
40,none,high,2.5264583990373826
40,waypoint,high,1.61011909450182
40,directergodic,high,7.856647298997679
07,none,low,1.3581337999160858
40,sharedergodic,high,3.402311652000275
07,waypoint,low,3.227599592213249
40,autoergodic,high,0.9342250903488231
07,directergodic,low,16.803274835141693
07,sharedergodic,low,10.326022429271555
41,none,low,1.6407021102403927
07,autoergodic,low,0.751045387759013
41,waypoint,low,3.5396752977778387
07,none,high,1.5056968577293066
41,directergodic,low,1.0036753375798766
07,waypoint,high,1.0786751629655247
41,sharedergodic,low,1.7110787119213966
07,directergodic,high,10.931711963523078
41,autoergodic,low,3.5012711826562737
23,none,low,3.339356902215979
41,none,high,2.332485731347392
23,waypoint,low,2.2965689492179986
23,directergodic,low,1.045210905083856
41,waypoint,high,3.2158644808735675
23,sharedergodic,low,4.046184927991609
41,directergodic,high,10.836675367197417
23,autoergodic,low,2.315904477172169
41,sharedergodic,high,4.228426656086424
23,none,high,5.856154172701111
41,autoergodic,high,6.222325446713288
23,waypoint,high,2.8937133433321565
23,directergodic,high,2.031823216560826
23,sharedergodic,high,6.260412806587519
23,autoergodic,high,1.549406361952852
30,none,low,4.684659928526354
30,waypoint,low,2.875756280196862
30,directergodic,low,8.256257673053245
30,sharedergodic,low,0.6010582079107362
30,autoergodic,low,4.25543163850816
30,none,high,11.013734194509672
30,waypoint,high,4.364026687301989
30,directergodic,high,6.585802329890903
30,sharedergodic,high,5.016676100063808
30,autoergodic,high,8.18044102723982
31,none,low,2.746590641700372
31,waypoint,low,2.7155228177973076
31,directergodic,low,1.883120710162942
31,sharedergodic,low,3.450114083114826
31,autoergodic,low,1.182949551543349
31,none,high,8.902140843571903
31,waypoint,high,8.723178984602754
31,directergodic,high,3.8596121420731397
31,sharedergodic,high,4.8696419907241815
31,autoergodic,high,7.683655251430065
33,none,low,2.4657904646622306
33,waypoint,low,8.322139835478565
33,directergodic,low,5.21499070786861
33,sharedergodic,low,2.097443839209199
33,autoergodic,low,2.7511705051851285
33,none,high,3.4175351716379736
33,waypoint,high,6.268674520506534
33,directergodic,high,2.837520081156239
33,sharedergodic,high,2.753088718390929
33,autoergodic,high,1.0050818820723786
38,none,low,2.3965799229384013
38,waypoint,low,4.103452113101349
38,directergodic,low,6.940113162580202
38,sharedergodic,low,1.5446929786366677
38,autoergodic,low,4.476052106467283
38,none,high,4.2492821724719825
38,waypoint,high,4.114927254087737
38,sharedergodic,high,11.6860317433866
38,autoergodic,high,1.2976868696950121
39,none,low,2.4033295656955493
39,directergodic,low,1.476599856038682
39,sharedergodic,low,1.7809347714747086
39,autoergodic,low,2.4726298757734906
39,none,high,1.317735470466383
39,waypoint,high,0.6474231167201117
39,directergodic,high,1.6764778540117624
39,sharedergodic,high,7.9814851449383015
42,none,low,10.366556056073087
42,waypoint,low,2.0389834625967485
