Subject,Control,Complexity,Num_A,Num_sim,Intersection_time,Regret
15,none,low,3,1,150,0.0
15,none,low,3,2,150,0.42207255326999016
15,none,low,3,3,150,0.5185585494806941
15,none,low,3,4,150,0.5185585494806941
15,none,low,3,6,150,0.3915505595227108
15,none,low,3,7,150,0.3915505595227108
15,none,low,3,9,150,0.324178922060931
15,none,low,3,12,150,0.324178922060931
15,none,low,3,16,150,0.3841593853339273
15,none,low,3,20,150,0.3841593853339273
15,none,low,3,26,150,0.27204835520917126
15,none,low,3,33,150,0.21175257021406887
15,none,low,3,43,150,0.07252824918871877
15,none,low,3,55,150,0.07252824918871877
15,none,low,3,70,150,0.055795788984670386
15,none,low,3,90,150,0.09220605051278924
15,none,low,3,116,150,0.09282786527224705
15,none,low,3,148,150,0.10535252832166242
15,none,low,3,191,150,0.11534927220049512
15,none,low,3,245,150,0.09567333174552525
15,none,low,3,314,150,0.09567333174552523
15,none,low,3,403,150,0.09567333174552523
15,none,low,3,518,150,0.09567333174552523
15,none,low,3,665,150,0.09567333174552523
15,none,low,3,854,150,0.09567333174552523
15,none,low,3,1097,150,0.09567333174552523
15,none,low,3,1408,150,0.09567333174552524
15,none,low,3,1808,150,0.09567333174552525
15,none,low,3,2322,150,0.09567333174552528
15,none,low,3,2981,150,0.09567333174552525
15,none,low,3,3828,150,0.09567333174552525
15,none,low,3,4915,150,0.09567333174552523
15,none,low,3,6311,150,0.09567333174552509
15,none,low,3,8103,150,0.095673331745525
15,none,low,4,1,150,50.03686049647715
15,none,low,4,2,150,0.12021753169719049
15,none,low,4,3,150,0.047813288012910043
15,none,low,4,4,150,0.02938303977433421
15,none,low,4,6,150,0.02938303977433421
15,none,low,4,7,150,0.03200536978288405
15,none,low,4,9,150,0.03200536978288405
15,none,low,4,12,150,0.03200536978288405
15,none,low,4,16,150,0.02390623927322265
15,none,low,4,20,150,0.05126024505330103
15,none,low,4,26,150,0.18867346492436995
15,none,low,4,33,150,0.13338916731015177
15,none,low,4,43,150,0.11527136258754031
